ADC,(ab),A3 a b
ADC,(U),23
ADC,(V),33
ADC,(X),03
ADC,(Y),13
ADC,#(ab),FD A3 a b
ADC,#(U),FD 23
ADC,#(V),FD 33
ADC,#(X),FD 03
ADC,#(Y),FD 13
ADC,UH,A2
ADC,UL,22
ADC,VH,B2
ADC,VL,32
ADC,XH,82
ADC,XL,02
ADC,YH,92
ADC,YL,12
ADI,(ab) i,EF a b i
ADI,(U) i,6F i
ADI,(V) i,7F i
ADI,(X) i,4F i
ADI,(Y) i,5F i
ADI,#(ab) i,FD EF a b i
ADI,#(U) i,FD 6F i
ADI,#(V) i,FD 7F i
ADI,#(X) i,FD 4F i
ADI,#(Y) i,FD 5F i
ADI,A i,B3 i
ADC,i,B3 i
ADR,U,FD EA
ADR,V,FD FA
ADR,X,FD CA
ADR,Y,FD DA
AEX,,F1
AM0,,FD CE
AM1,,FD DE
AND,(ab),A9 a b
AND,(U),29
AND,(V),39
AND,(X),09
AND,(Y),19
AND,#(ab),FD A9 a b
AND,#(U),FD 29
AND,#(V),FD 39
AND,#(X),FD 09
AND,#(Y),FD 19
ANI,(ab) i,E9 a b i
ANI,(U) i,69 i
ANI,(V) i,79 i
ANI,(X) i,49 i
ANI,(Y) i,59 i
ANI,#(ab) i,FD E9 a b i
ANI,#(U) i,FD 69 i
ANI,#(V) i,FD 79 i
ANI,#(X) i,FD 49 i
ANI,#(Y) i,FD 59 i
ANI,A i,B9 i
AND,i,B9 i
ATP,,FD CC
ATT,,FD EC
BCH,-i,9E i
BCH,+i,8E i
BCR,-i,91 i
BCR,+i,81 i
BCS,-i,93 i
BCS,+i,83 i
BHR,-i,95 i
BHR,+i,85 i
BHS,-i,97 i
BHS,+i,87 i
BII,(ab) i,ED a b i
BII,(U) i,6D i
BII,(V) i,7D i
BII,(X) i,4D i
BII,(Y) i,5D i
BII,#(ab) i,FD ED a b i
BII,#(U) i,FD 6D i
BII,#(V) i,FD 7D i
BII,#(X) i,FD 4D i
BII,#(Y) i,FD 5D i
BII,A i,BF i
BIT,i,BF i
BIT,(ab),AF a b
BIT,(U),2F
BIT,(V),3F
BIT,(X),0F
BIT,(Y),1F
BIT,#(ab),FD AF a b
BIT,#(U),FD 2F
BIT,#(V),FD 3F
BIT,#(X),FD 0F
BIT,#(Y),FD 1F
BVR,-i,9D i
BVR,+i,8D i
BVS,-i,9F i
BVS,+i,8F i
BZR,-i,99 i
BZR,+i,89 i
BZS,-i,9B i
BZS,+i,8B i
CDV,,FD 8E
CIN,,F7
CPA,(ab),A7 a b
CPA,(U),27
CPA,(V),37
CPA,(X),07
CPA,(Y),17
CPA,#(ab),FD A7 a b
CPA,#(U),FD 27
CPA,#(V),FD 37
CPA,#(X),FD 07
CPA,#(Y),FD 17
CPA,UH,A6
CPA,UL,26
CPA,VH,B6
CPA,VL,36
